Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T18:15:02.150723Z,6826.8,175.8,12.94,3.61,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T18:00:03.770197Z,6826.8,601.1,21.64,3.77,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T17:45:04.130085Z,6826.8,155.2,22.15,2.91,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T17:30:02.026652Z,6826.8,673.2,17.91,3.07,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T17:15:05.104979Z,6826.8,159.2,8.18,2.99,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T17:00:03.229522Z,6826.8,602.1,5.99,2.17,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T16:45:02.016140Z,6826.8,875.2,15.90,3.85,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T16:30:03.320677Z,6826.8,485.9,18.16,3.56,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T16:15:01.761220Z,6826.8,527.5,11.44,3.23,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T16:00:03.184015Z,6826.8,641.9,22.72,3.51,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T15:45:01.840962Z,6826.8,376.1,12.63,3.26,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T15:30:03.014925Z,6826.8,779.9,22.42,1.76,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T15:15:04.208139Z,6826.8,1120.4,11.96,1.99,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T15:00:01.836654Z,6826.8,176.8,20.93,3.21,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T14:45:04.083725Z,6826.8,1287.0,9.60,1.47,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T14:30:05.059982Z,6826.8,1520.6,11.05,2.06,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T14:15:02.412389Z,6826.8,311.1,20.44,3.57,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T14:00:02.612172Z,6826.8,365.5,14.45,1.38,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T13:45:02.401071Z,6826.8,463.6,18.01,4.05,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T13:30:02.329477Z,6826.8,1030.8,22.58,3.05,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T13:15:04.742559Z,6826.8,1319.8,13.71,2.13,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T13:00:02.406464Z,6826.8,1639.0,19.15,3.29,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T12:45:02.228050Z,6826.8,148.3,21.50,1.77,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T12:30:01.882904Z,6826.8,188.1,19.78,3.85,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T12:15:04.634609Z,6826.8,1336.9,8.42,2.79,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T12:00:03.164255Z,6826.8,820.0,13.56,2.17,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T11:45:02.166458Z,6826.8,907.1,21.97,2.63,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T11:30:02.167400Z,6826.8,149.3,15.25,3.12,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T11:15:03.900181Z,6826.8,1251.1,10.33,2.35,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T11:00:01.984084Z,6826.8,260.2,18.87,3.73,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T10:45:04.802720Z,6826.8,1048.0,7.90,2.38,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T10:30:01.755746Z,6826.8,182.6,18.49,2.95,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T10:15:01.683083Z,6826.8,156.8,20.70,2.79,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T10:00:02.877639Z,6826.8,579.5,17.95,3.58,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T09:45:01.485773Z,6826.8,149.6,22.50,6.09,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T09:30:01.874635Z,6826.8,157.4,19.55,6.54,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T09:15:02.956050Z,6826.8,458.0,11.30,4.82,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T09:00:01.450069Z,6826.8,156.8,14.68,3.52,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T08:45:01.706461Z,6826.8,273.6,8.24,2.61,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T08:30:04.639258Z,6826.8,1297.7,9.70,2.20,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T08:15:03.736638Z,6826.8,1316.4,12.13,2.02,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T08:00:05.173891Z,6826.8,196.2,21.11,4.70,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T07:45:02.177687Z,6826.8,171.0,21.76,3.59,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T07:30:04.093658Z,6826.8,903.2,11.42,3.49,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T07:15:11.976149Z,6826.8,156.8,20.74,3.81,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T07:00:04.663440Z,6826.8,1290.3,15.40,2.33,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T06:45:04.960644Z,6826.8,1360.1,2.93,3.50,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T06:30:05.093196Z,6826.8,1296.2,9.97,1.95,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T06:15:02.346210Z,6826.8,176.9,11.38,3.63,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T06:00:01.976844Z,6826.8,740.4,17.03,3.43,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T05:45:02.511614Z,6826.8,154.2,21.60,6.37,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T05:30:03.258639Z,6826.8,687.7,19.02,1.31,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T05:15:03.691080Z,6826.8,217.6,21.67,2.88,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T05:00:03.755098Z,6826.8,1207.7,10.56,3.09,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T04:45:03.571964Z,6826.8,147.6,22.72,3.98,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T04:30:02.168942Z,6826.8,268.7,21.37,2.26,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T04:15:03.750717Z,6826.8,1245.5,6.07,0.89,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T04:00:02.103967Z,6826.8,150.6,14.81,4.65,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T03:45:02.474947Z,6826.8,202.7,19.48,5.72,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T03:30:04.284998Z,6826.8,674.3,17.99,2.24,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T03:15:02.526650Z,6826.8,963.0,13.34,1.28,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T03:00:04.674875Z,6826.8,1257.5,9.29,0.59,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T02:45:03.693004Z,6826.8,1169.0,14.05,1.97,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T02:30:03.985941Z,6826.8,1323.8,11.25,1.51,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T02:15:01.860189Z,6826.8,156.0,21.59,5.41,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T02:00:01.956035Z,6826.8,164.4,18.65,3.01,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T01:45:03.769420Z,6826.8,1344.5,11.85,1.67,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T01:30:03.052730Z,6826.8,1023.3,21.13,4.07,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T01:15:03.609466Z,6826.8,1074.7,12.46,0.78,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T01:00:05.020246Z,6826.8,185.3,23.16,4.97,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T00:45:04.488089Z,6826.8,1284.5,5.64,1.22,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T00:30:04.725633Z,6826.8,375.8,15.29,3.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T00:15:02.344409Z,6826.8,476.2,12.91,2.23,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-23T00:00:02.404690Z,6826.8,215.0,19.74,3.16,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T23:45:02.756517Z,6826.8,491.7,18.11,2.77,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T23:30:03.449204Z,6826.8,900.1,12.13,3.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T23:15:02.190181Z,6826.8,159.9,16.92,3.13,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T23:00:02.716730Z,6826.8,1037.5,14.32,6.07,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T22:45:05.033142Z,6826.8,159.3,22.79,3.18,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T22:30:01.959388Z,6826.8,150.8,22.48,6.48,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T22:15:04.770622Z,6826.8,1284.1,10.03,2.59,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T22:00:04.669453Z,6826.8,1418.0,5.48,2.03,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T21:45:04.618086Z,6826.8,1265.7,10.96,5.81,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T21:30:02.041546Z,6826.8,431.3,13.18,3.77,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T21:15:01.661601Z,6826.8,150.2,22.27,6.41,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T21:00:04.501129Z,6826.8,1251.4,9.50,2.38,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T20:45:02.251282Z,6826.8,211.4,15.97,3.35,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T20:30:02.651961Z,6826.8,773.4,14.09,3.28,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T20:15:02.848528Z,6826.8,1230.3,7.60,2.25,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T20:00:01.692064Z,6826.8,391.2,15.49,3.92,,my_source_IP
